SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_WEIGHT_CACHE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Force selective CUDA weight caching instead of direct mapped access.	ds4_cuda.cu:1246
runtime/cuda	DS4_CUDA_WEIGHT_CACHE_LIMIT_GB	unsigned integer GiB; default/0 = unlimited; parser accepts a numeric prefix even with trailing text	Limit total CUDA selective-weight cache allocation.	ds4_cuda.cu:6299
runtime/cuda	DS4_CUDA_WEIGHT_CACHE_VERBOSE	presence diagnostic flag; default off; any defined value including 0 enables	Print CUDA weight mapping, caching, and preload diagnostics.	ds4_cuda.cu:1297
runtime/cuda	DS4_CUDA_WEIGHT_PRELOAD	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Request proactive CUDA weight caching/preloading.	ds4_cuda.cu:1247
runtime/cuda	DS4_CUDA_WEIGHT_PRELOAD_SPAN_MB	positive integer MiB; default 1024; clamped 64..4096	Set the maximum span size used by CUDA weight preload.	ds4.c:2880
runtime/cuda	DS4_CUDA_WINDOW_ATTENTION	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control or tune the CUDA window attention path.	ds4_cuda.cu:23051
runtime/cuda-mmq	DS4_MMID_CASE1	boolean-ish cached flag; default on; a value starting with 0 disables	Disable the single-expert MM-IDs specialized fast path for comparison.	cuda/mmq/mmid.cu:290
runtime/cuda-mmq	DS4_MMID_LARGE	boolean-ish cached flag; default on; a value starting with 0 disables	Control the large-N global-memory MM-IDs path used beyond shared-memory capacity.	cuda/mmq/mmid.cu:245
runtime/cuda-mmq	DS4_MMQ_D2R	boolean-ish cached flag; default on; a value starting with 0 disables	Control the direct-to-register Q2_K MoE down path.	cuda/mmq/ds4_mmq.cu:535
runtime/cuda-mmq	DS4_MMQ_D2R_IQ2	boolean-ish cached flag; default on; a value starting with 0 disables	Control the direct-to-register IQ2 MoE gate/up path.	cuda/mmq/ds4_mmq.cu:544
runtime/cuda-mmq	DS4_MMQ_D2R_MIN_COLS	positive integer; default 1024; invalid or nonpositive input restores the default	Set the minimum output-column count for the MMQ direct-to-register path.	cuda/mmq/ds4_mmq.cu:639
runtime/cuda-mmq	DS4_MMQ_D2R_STATS	exact 1 enables; unset or every other value disables; cached and synchronizes the stream	Print partial-tile fill telemetry for the direct-to-register MMQ kernels.	cuda/mmq/ds4_mmq_d2r.cu:33
runtime/cuda-mmq	DS4_MMQ_DENSE_D2R	boolean-ish flag; default on; exact 0 disables	Control the eligible aligned-Q8 dense prefill direct-to-register path.	ds4_cuda.cu:19567
runtime/cuda-mmq	DS4_MMQ_NO_YIND	presence rollback; unset keeps Y-indirect staging; any defined value including 0 disables it	Restore slot-gathered MoE gate/up activation quantization.	cuda/mmq/ds4_mmq.cu:619
runtime/cuda-mmq	DS4_MMQ_OUT_MEMSET	exact 1 enables; unset or every other value disables; cached	Restore blanket MMQ output-buffer zeroing for diagnostics.	cuda/mmq/ds4_mmq.cu:562
runtime/cuda-mmq	DS4_MMQ_YBUF_MEMSET	unset or 0 disables; 1 zero-fills; a value starting with p or P poison-fills with 0xFF	Control MMQ Q8_1 activation-staging initialization and its poison oracle.	cuda/mmq/ds4_mmq.cu:588
runtime/cuda-mmq	DS4_MMQ_YIND_VERIFY	presence diagnostic; unset is off; any defined value including 0 enables	Byte-compare Y-indirect and slot-gathered MoE activation buffers.	cuda/mmq/ds4_mmq.cu:630
runtime/cuda-mmq	DS4_Q8_FOLD_SELFTEST	positive call budget; unset/empty disables; a nonempty value parsing to 1 or less selects 512 calls	Byte-check folded Q8_1 activations against a fresh quantization; synchronizes eager streams.	cuda/mmq/ds4_mmq.cu:5963
runtime/cuda-shared	DS4_FORCE_CUDA_PEER	presence flag read once at CUDA init; unset uses automatic transfer selection; any defined value including 0 enables	Force cross-device transfers through cudaMemcpyPeerAsync for diagnostics.	ds4_cuda.cu:364
runtime/cuda-shared	DS4_FORCE_HOST_BOUNCE	presence flag read once at CUDA init; unset uses automatic transfer selection; any defined value including 0 enables	Force cross-device transfers through pinned host bounce buffers for diagnostics.	ds4_cuda.cu:365
runtime/cuda-tools	DS4_WS_REPACK_HASH	exact 1 enables; unset or every other value disables unless overridden by CLI; cached	Print a per-artifact FNV-1a hash for workspace repack identity checks.	cuda/mmq/ds4_repack.cu:530
runtime/cuda-tools	DS4_WS_REPACK_THREADS	positive integer; default min(6, hardware threads), capped at 16 and the job count	Set the CPU worker count for CUDA workspace artifact repacking.	cuda/mmq/ds4_repack.cu:539
runtime/distributed	DS4_DIST_CONNECT_BIND_HOST	non-empty string; unset/empty means no local bind constraint	Bind outgoing distributed connections to a local host/address.	ds4_distributed.c:1332
runtime/distributed	DS4_DIST_CONNECT_BIND_IF	non-empty string; unset/empty means no local bind constraint	Bind outgoing distributed connections to a network interface.	ds4_distributed.c:1334
runtime/distributed	DS4_DIST_CONNECT_TRACE	presence flag; unset=off, any set value=on	Emit trace diagnostics for dist connect trace.	ds4_distributed.c:1112
runtime/distributed	DS4_DIST_DECODE_PROFILE	presence flag; unset=off, any set value=on	Collect timing/profile diagnostics for dist decode profile.	ds4_distributed.c:753
runtime/distributed	DS4_DIST_DISABLE_PREFILL_ACK_ONLY	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable prefill ack only.	ds4_distributed.c:3692
runtime/distributed	DS4_DIST_DISABLE_PREFILL_PIPELINE	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable prefill pipeline.	ds4_distributed.c:3427
runtime/distributed	DS4_DIST_DISABLE_WORKER_PREFETCH	presence flag; unset keeps optimized/default behavior, any set value disables it	Disable/roll back dist disable worker prefetch.	ds4_distributed.c:7878
runtime/distributed	DS4_DIST_PREFILL_CHUNK	positive integer; unset/0 uses session prefill capacity; explicit value may not exceed capacity	Set distributed prefill chunk size.	ds4_distributed.c:3455
runtime/distributed	DS4_DIST_PREFILL_SEND_DEPTH	integer 1..8; default 2; capped to chunk count	Set coordinator prefill sender queue depth.	ds4_distributed.c:470
runtime/distributed	DS4_DIST_PREFILL_WINDOW	positive integer <=64; auto default remote stages+2 clamped 2..8 and chunk count	Set maximum distributed prefill chunks in flight.	ds4_distributed.c:3485
runtime/distributed	DS4_DIST_SOCKET_BUFFER_MB	integer 0..512 MiB; default 128; 0 disables socket buffer override	Set TCP send/receive buffer sizes.	ds4_distributed.c:712
runtime/distributed	DS4_DIST_SOCKET_RECV_TIMEOUT_SEC	Nonempty base-10 integer parsed completely; valid range 1..3600 seconds. Unset, empty, partially parsed, or out-of-range values install no SO_RCVTIMEO at all.	Optionally bound blocking receives on distributed TCP sockets; the default deliberately permits indefinitely idle control connections during separate KV transfers.	ds4_distributed.c:1049
runtime/distributed	DS4_DIST_SOCKET_TIMEOUT_SEC	Nonempty base-10 integer parsed completely; valid range 1..3600 seconds. Default 60 seconds for unset, empty, partially parsed, or out-of-range values.	Set SO_SNDTIMEO on distributed TCP sockets so blocked coordinator/worker sends eventually fail.	ds4_distributed.c:1032
runtime/distributed	DS4_DIST_WORKER_FORWARD_WINDOW	integer 1..64; default 4	Set worker forward-results window.	ds4_distributed.c:740
runtime/distributed	DS4_DIST_WORKER_PREFETCH_DEPTH	integer 1..8; default 2	Set worker input-prefetch queue depth.	ds4_distributed.c:726
runtime/dspark	DS4_DSPARK_CACHE_RESERVE_GB	integer GiB via atoi; default 4.5 GiB; values 1..32 replace it, all other values fall back; decimal/trailing text is truncated/accepted by atoi	Reserve VRAM on DSpark support-cache tiers before packing support-model tensors.	ds4.c:60035
runtime/dspark	DS4_DSPARK_DISABLE_FINAL_OUTPUT_ALIAS	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable aliasing the final DSpark stage output to the next-stage buffer and use an explicit copy.	ds4.c:33799
runtime/dspark	DS4_DSPARK_DISABLE_FUSED_CPU_MARKOV_ARGMAX	cached value-aware kill switch; default off; nonempty value other than exact 0 disables; false/off also disable because only 0 is recognized as false	Disable the fused CPU Markov-bias plus argmax implementation.	ds4.c:34502
runtime/dspark	DS4_DSPARK_DISABLE_REUSE_CONFIDENCE0_MARKOV	cached value-aware kill switch; default off; nonempty value other than exact 0 disables; false/off also disable because only 0 is recognized as false	Disable reuse of the first confidence score during Markov proposal.	ds4.c:34511
runtime/dspark	DS4_DSPARK_DISABLE_VERIFY_SELECTED_PROFILE	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Override and disable the selected-expert verifier profiler.	ds4.c:36675
runtime/dspark	DS4_DSPARK_EXEC_TIER	integer tier via atoi; default is placement/TP free-VRAM heuristic; valid 0..n_gpus-1 overrides; invalid numeric range falls back, but nonnumeric text becomes tier 0	Choose the GPU tier that executes and primarily caches the DSpark support model.	ds4.c:60008
runtime/dspark	DS4_DSPARK_FAKE_ARGMAX_PROPOSAL	nonempty boolean; unset/empty or exact 0: off; every other nonempty value enables, but only while DSpark itself is enabled	If the real DSpark proposer produced no draft, installs a one-token fallback proposal equal to the argmax of the current target logits; debug/test mode also selects the non-fused stage-0 setup path.	ds4.c:64546
runtime/dspark	DS4_DSPARK_LOW_MEMORY_PREFILL_CHUNK	unsigned integer rows; default 128; 0 disables the low-memory policy; invalid/overflow falls back, numeric prefixes are accepted; only consulted for Metal SSD+DSpark on <=24 GiB hosts without an explicit chunk	Set the automatic low-memory Metal prefill chunk for SSD-streamed DSpark.	ds4.c:60982
runtime/dspark	DS4_DSPARK_NO_GPU_MARKOV	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable GPU Markov bias/argmax and the fully device-resident proposal path.	ds4.c:34726
runtime/dspark	DS4_DSPARK_NO_MARKOV	cached value-aware kill switch; default off; nonempty value other than exact 0 disables Markov bias; false/off also disable	Disable Markov bias in DSpark proposal generation.	ds4.c:34493
runtime/dspark	DS4_DSPARK_PROBE	nonempty-string diagnostic; unset/empty is off, any nonempty value including 0 is on	Log DSpark proposal/probe diagnostics.	ds4.c:64543
runtime/dspark	DS4_DSPARK_PROP_PROFILE	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Print fine-grained timings for DSpark proposal setup.	ds4.c:32974
runtime/dspark	DS4_DSPARK_SPEC_LOG	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Log speculative proposal, verification, acceptance, and fallback decisions.	ds4.c:66879
runtime/dspark	DS4_DSPARK_SSD_VERIFY_BLOCK_MAX	unsigned integer rows; default/fallback 0 means automatic policy; numeric prefixes accepted; used both as verifier cap and as an exact-2 proposer-policy discriminator	Cap speculative rows verified from SSD and influence exact-2 proposal sizing.	ds4.c:52644
runtime/dspark	DS4_DSPARK_STAGE_PROFILE	presence flag; unset is off; any defined value, including empty or 0, is on; DS4_DSPARK_STAGE_PROFILE_STAGE must also match	Profile DSpark support stages with command-boundary timings.	ds4.c:33431
runtime/dspark	DS4_DSPARK_STAGE_PROFILE_STAGE	selector subordinate to DS4_DSPARK_STAGE_PROFILE; unset/empty: match every stage; otherwise strtoul base 10 must consume the whole value, fit uint32_t, and equal the current stage; invalid/out-of-range values match no stage	Restricts DSpark stage-boundary timing output to one stage; it does not enable profiling by itself.	ds4.c:33432
runtime/dspark	DS4_DSPARK_STATS	value-aware flag; default off; nonempty value other than exact 0 enables; false/off are treated as enabled	Collect and print aggregate DSpark runtime statistics.	ds4.c:61875
runtime/dspark	DS4_DSPARK_VERIFY_CACHE	presence diagnostic; unset: off; any presence including empty or 0 enables on each support-cache installation	CUDA only: copies every installed nonempty DSpark/support-cache range back to the host, byte-compares it with its source, and logs each mismatch plus a bad-count summary without changing the install result.	ds4_cuda.cu:8257
runtime/dspark	DS4_DSPARK_VERIFY_HEAD_NO_TP	presence rollback; unset: allow eligible CUDA output tensor parallelism; any presence including empty or 0 removes the TP path from eligibility	CUDA only: forces the DSpark speculative batched vocabulary head away from output-TP for correctness isolation; under CUDA TP+EP the attempt fails instead of using unavailable full output weights.	ds4.c:26656
runtime/dspark	DS4_DSPARK_VERIFY_NONCAUSAL	presence diagnostic sampled once after the first successfully submitted CUDA noncausal-attention kernel; unset: verify 0 calls; any presence including empty or 0: verify that call and the next 2	CUDA only: synchronizes and reads back Q/KV/output, computes the DSpark noncausal attention CPU reference, and logs max absolute/relative error; it reports only and does not fail the operation.	ds4_cuda.cu:21736
runtime/dspark	DS4_DSPARK_VERIFY_PROFILE	cached presence diagnostic; unset is off; any defined value including empty/0 profiles only the first eligible verifier invocation	Profile one full DSpark target-verifier invocation layer by layer.	ds4.c:36772
runtime/dspark	DS4_DSPARK_VERIFY_SELECTED_PROFILE	presence flag; unset is off; any defined value, including empty or 0, enables unless DS4_DSPARK_DISABLE_VERIFY_SELECTED_PROFILE is also present (disable wins)	Profile selected-expert streaming inside the DSpark verifier.	ds4.c:36674
runtime/dspark	DS4_DSPARK_VERIFY_SPLIT_HEAD	nonempty boolean with inverted default; unset/empty or exact 0: fused head; every other nonempty value: split head	Runs the DSpark suffix verifier output head and top-1 reduction in a separate GPU command section after the layer loop, for timing/correctness isolation; default keeps them fused into the layer command section.	ds4.c:36740
runtime/dspark	DS4_DSPARK_VERIFY_TOPS_CHECK	presence flag; unset is off; any defined value, including empty or 0, is on; normal eligibility still applies	Read back verifier logits and compare GPU top IDs with CPU argmax.	ds4.c:36888
runtime/glm	DS4_GLM_ABLATE_COMBINE	presence ablation; unset: exchange the local TP partial with the peer and add both halves; any presence including empty or 0 skips the exchange	Metal two-rank TP timing probe: doubles the local routed-MoE or split-attention partial instead of combining with the peer, deliberately producing invalid output; both ranks must set it or their exchange gates desynchronize.	ds4.c:44442
runtime/glm	DS4_GLM_ATTN_NO_LORA_VEC2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable vectorized two-row LoRA accumulation in CUDA GLM indexed attention.	ds4_cuda.cu:34176
runtime/glm	DS4_GLM_ATTN_NO_SCORE_VEC2	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable vectorized two-row score computation in CUDA GLM indexed attention.	ds4_cuda.cu:34165
runtime/glm	DS4_GLM_ATTN_NO_STAGED_DECODE	presence kill switch; unset leaves the eligible path available; any defined value, including empty or 0, disables it	Disable staged CUDA GLM indexed-decode attention for large selected sets.	ds4_cuda.cu:34214
runtime/glm	DS4_GLM_DECODE_ABLATE	cached substring list; default empty mask; recognized tokens are attn_out, attn_core, qpath, indexer, routed, shared, qklow; unknown text has no effect; matching stages are skipped and output is invalid	Skip selected GLM decode stages for timing attribution; generated output is invalid.	ds4.c:44672
